id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_sport
157,Hockey Equipe H,Hommes,Equipe,0,1,1,0,0,67,Hockey sur gazon,111,Hockey sur gazon,25
165,470 - Hommes,Hommes,Double,0,0,1,0,0,144,Dériveur,231,Haute performance,1
176,100m Dos - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
177,100m Brasse - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
178,100m Papillon - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
179,100m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
181,1500m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
182,200m Papillon - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
183,200m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
184,Relais 4 x 100m Nage libre - Hommes,Hommes,Equipe,0,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
189,Simple - Hommes,Hommes,Individuel,1,1,1,0,0,9,Badminton,92,Badminton,55
194,Poids lourd - Hommes,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
198,Deux sans barreur - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron,15
200,Huit avec barreur - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron,15
203,Quatre de couple - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron,15
204,Simple - Hommes,Hommes,Individuel,1,1,1,0,0,131,Tennis de table,208,Tennis de table,19
212,Individuel - Hommes,Hommes,Individuel,1,1,1,0,1,368,Tir à l'arc sur cibles,221,Arc classique,10
213,Classique Par équipes - Hommes,Hommes,Equipe,0,1,1,0,1,368,Tir à l'arc sur cibles,221,Arc classique,10
217,Individuel - Hommes,Hommes,Individuel,1,1,1,0,1,97,Pentathlon moderne,161,Pentathlon moderne,16
219,Individuel Sabre - Hommes,Hommes,Individuel,1,1,1,0,0,35,Sabre,68,Sabre,33
224,25m Pistolet tir rapide - Hommes,Hommes,Individuel,1,1,1,0,1,137,Pistolet,217,25 mètres,66
232,68kg - Hommes - JO,Hommes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat,32
233,+80kg - Hommes - JO,Hommes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat,32
237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,118,Curling,323,Curling,20
247,Individuel 20km - Hommes,Hommes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon,41
253,50km Style classique - Hommes,Hommes,Individuel,1,1,0,0,0,108,Ski de fond,258,Ski de fond,67
258,1000m - Hommes,Hommes,Individuel,1,1,0,0,0,400,Patinage de vitesse sur glace courte piste,288,Short track,21
260,500m - Hommes,Hommes,Individuel,1,1,0,0,0,400,Patinage de vitesse sur glace courte piste,288,Short track,21
263,Sprint individuel - Hommes,Hommes,Individuel,1,1,1,0,0,22,Piste,48,Sprint,13
265,Keirin - Hommes,Hommes,Individuel,1,1,1,0,0,22,Piste,48,Sprint,13
267,Madison - Hommes,Hommes,Equipe,0,1,1,0,1,22,Piste,47,Endurance,13
271,Individuel - Hommes,Hommes,Individuel,1,1,0,0,0,153,Skeleton,328,Skeleton,9
274,K1 200m - Hommes,Hommes,Individuel,1,0,1,0,0,397,Kayak,403,Course en ligne,54
275,K4 500m - Hommes,Hommes,Equipe,0,1,1,0,0,397,Kayak,403,Course en ligne,54
279,K1 - Hommes,Hommes,Individuel,1,1,1,0,0,397,Kayak,406,Slalom,56
280,Football Equipes H,Hommes,Equipe,0,1,1,0,0,36,Football,77,Football,49
289,100m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,18,Sprint,28
291,20km Marche - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,15,Marche athlétique,28
296,400m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,18,Sprint,28
299,800m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,9,Demi-fond,28
302,Longueur - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,17,Sauts,28
310,Slalom géant - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin,34
321,200m Brasse - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
322,200m 4 nages (individuel) - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
325,Relais 4 x 100m 4 nages - Hommes,Hommes,Equipe,0,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
326,Relais 4 x 200m Nage libre - Hommes,Hommes,Equipe,0,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
331,50m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
332,800m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
333,10m Plateforme - Hommes,Hommes,Individuel,1,1,1,0,1,84,Plongeon,151,Plongeon,3
334,10m Plateforme Synchro - Hommes,Hommes,Equipe,0,1,1,0,1,84,Plongeon,151,Plongeon,3
335,3m Tremplin Synchro - Hommes,Hommes,Equipe,0,1,1,0,1,84,Plongeon,151,Plongeon,3
338,Poids plume - Hommes (57kg) OG,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
339,Poids léger - Hommes (61kg),Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
340,Poids lourd-léger - Hommes (79kg),Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
341,Golf Individuel - Hommes,Hommes,Individuel,1,1,1,0,0,38,Golf,81,Golf,48
342,Handball Equipe H,Hommes,Equipe,0,1,1,0,0,47,Handball,91,Handball,31
345,100kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
346,90kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
347,60kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
348,Quatre sans barreur - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron,15
349,Deux de couple - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron,15
351,Skiff - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron,15
353,Distance Olympique - Hommes,Hommes,Individuel,1,1,1,0,0,142,Triathlon,225,Formats olympiques,11
372,Par équipes Épée - Hommes,Hommes,Equipe,0,1,1,0,1,33,Epée,66,Epée,33
376,Trap - Hommes,Hommes,Individuel,1,1,1,0,1,275,Plateau,218,Fosse olympique,66
379,10m Pistolet à air comprimé - Hommes,Hommes,Individuel,1,1,1,0,1,137,Pistolet,216,10 mètres,66
391,2-Man Competition - Hommes,Hommes,Equipe,0,1,0,0,0,117,Bobsleigh,322,Bobsleigh,30
404,Singles - Hommes,Hommes,Individuel,1,1,0,0,1,120,Patinage artistique,326,Patinage artistique,57
406,Mass Start 15km - Hommes,Hommes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon,41
409,50km Style libre - Hommes,Hommes,Individuel,1,0,0,0,0,108,Ski de fond,258,Ski de fond,67
416,Snowboard Cross - Hommes,Hommes,Individuel,1,1,0,0,0,111,Surf des neiges,260,Snowboard,23
420,1500m - Hommes,Hommes,Individuel,1,1,0,0,0,400,Patinage de vitesse sur glace courte piste,288,Short track,21
430,Omnium - Hommes,Hommes,Individuel,1,1,1,0,0,22,Piste,47,Endurance,13
433,500m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste,40
436,1500m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste,40
437,10000m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste,40
440,10000m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,11,Fond,28
441,110m Haies - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,12,Haies,28
444,Relais 4 x 100m - Hommes,Hommes,Equipe,0,1,1,0,0,251,Athlétisme disciplines olympiques,16,Relais,28
445,400m Haies - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,12,Haies,28
448,Marteau - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,13,Lancers,28
449,Hauteur - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,17,Sauts,28
454,Basket 5x5 Equipe H,Hommes,Equipe,0,1,1,0,0,358,Basketball 5x5,31,Basketball 5x5,7
455,Volley-Ball Equipe H,Hommes,Equipe,0,1,1,0,0,150,Volley-ball,241,Volley ball,53
460,Par équipes - Hommes,Hommes,Equipe,0,0,1,0,0,11,Baseball,28,Baseball,45
461,Slalom - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin,34
462,RS:X - Men,Hommes,Individuel,1,0,1,0,0,372,Planche à voile (windsurf),373,Windsurf,1
463,Finn - Hommes,Hommes,Individuel,1,0,1,0,0,144,Dériveur,231,Haute performance,1
471,200m Dos - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
478,Water-Polo Equipe H,Hommes,Equipe,0,1,1,0,0,85,Water polo,152,Water polo,52
480,Poids super-lourd - Hommes,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
481,67kg - Hommes,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
482,"Poids moyen - Hommes (72,5kg)",Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
483,66kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
484,81kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
488,Deux de couple - Poids léger Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron,15
500,105kg - Hommes,Hommes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique,29
503,Individuel Épée - Hommes,Hommes,Individuel,1,1,1,0,1,33,Epée,66,Epée,33
504,Individuel Fleuret - Hommes,Hommes,Individuel,1,1,1,0,0,34,Fleuret,67,Fleuret,33
505,Par équipes Fleuret - Hommes,Hommes,Equipe,0,1,1,0,0,34,Fleuret,67,Fleuret,33
509,Skeet - Hommes,Hommes,Individuel,1,1,1,0,1,275,Plateau,219,Skeet olympique,66
516,80kg - Hommes - JO,Hommes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat,32
531,Sprint 10km - Hommes,Hommes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon,41
532,Poursuite 12.5km - Hommes,Hommes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon,41
534,Relais 2 x 6 + 2 x 7.5km - Mixte,Mixte,Equipe,0,0,0,0,0,109,Biathlon,246,Biathlon,41
536,Relais 4 x 10km - Hommes,Hommes,Equipe,0,1,0,0,0,108,Ski de fond,258,Ski de fond,67
542,Beach-Volley Equipe H,Hommes,Double,0,1,1,0,1,151,Volley-ball de plage (beach volley),242,Beach volley,4
543,Cross Country - Hommes,Hommes,Individuel,1,1,1,0,0,256,VTT,54,Cross-country,12
552,C1 1000m - Hommes,Hommes,Individuel,1,1,1,0,0,398,Canoë,41,Course en ligne (sprint),54
554,C2 1000m - Hommes,Hommes,Double,0,0,1,0,0,398,Canoë,41,Course en ligne (sprint),54
567,Trampoline Individuel - Hommes,Hommes,Individuel,1,1,1,0,1,42,Trampoline,88,Trampoline,39
574,Concours général - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,26
575,Barres parallèles - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,26
591,K1 1000m - Hommes,Hommes,Individuel,1,1,1,0,0,397,Kayak,403,Course en ligne,54
593,K2 1000m - Hommes,Hommes,Double,0,0,1,0,0,397,Kayak,403,Course en ligne,54
595,C1 - Hommes,Hommes,Individuel,1,1,1,0,0,398,Canoë,42,Slalom,56
599,Sol - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,26
600,Barre fixe - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,26
601,Cheval d'arçons - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,26
602,Saut - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,26
618,Anneaux - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,26
620,GAM Par équipes - Hommes,Hommes,Equipe,0,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,26
631,BMX Race - Hommes,Hommes,Individuel,1,1,1,0,0,25,BMX race,46,BMX race,17
632,Sprint Style classique - Hommes,Hommes,Individuel,1,1,0,0,0,108,Ski de fond,258,Ski de fond,67
634,Par équipes Sprint Style libre - Hommes,Hommes,Equipe,0,1,0,0,0,108,Ski de fond,258,Ski de fond,67
636,Par équipes Sprint Style classique - Hommes,Hommes,Equipe,0,0,0,0,0,108,Ski de fond,258,Ski de fond,67
637,Ski Cross - Hommes,Hommes,Individuel,1,1,0,0,0,110,Ski freestyle,259,Ski freestyle,6
664,Halfpipe - Hommes,Hommes,Individuel,1,1,0,0,1,110,Ski freestyle,259,Ski freestyle,6
685,50m Carabine 3 positions - Hommes,Hommes,Individuel,1,1,1,0,1,136,Carabine,211,50 mètres,66
692,65kg LL - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre,8
693,57kg LL- Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre,8
694,86kg LL- Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre,8
695,97kg LL - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre,8
696,125kg LL- Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre,8
702,130kg GR - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,129,Lutte gréco-romaine,46
703,Rugby à 7 Equipe H,Hommes,Equipe,0,1,1,0,0,245,Rugby à 7,172,Rugby à 7,72
782,Mass Start 16 Laps - Hommes,Hommes,Individuel,1,1,0,0,1,401,Patinage de vitesse sur glace grande piste,289,Longue piste,40
797,Heptathlon - Femmes,Femmes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,10,Epreuves combinées,28
819,Duo - Femmes,Femmes,Double,0,1,1,0,1,82,Natation artistique,149,Natation artistique,35
820,Par équipes - Femmes,Femmes,Equipe,0,0,1,0,1,82,Natation artistique,149,Natation artistique,35
825,48kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
844,57kg - Femmes - JO,Femmes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat,32
845,49kg - Femmes - JO,Femmes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat,32
853,Mass Start 12.5km - Femmes,Femmes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon,41
938,52kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
941,78kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
942,+78kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
956,75kg - Femmes,Femmes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique,29
964,+67kg - Femmes - JO,Femmes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat,32
981,Sprint Par équipes - Hommes,Hommes,Equipe,0,1,1,0,0,22,Piste,48,Sprint,13
992,Concours multiple individuel - Femmes,Femmes,Individuel,1,1,1,0,1,40,Gymnastique rythmique,86,Individuelle,22
1041,63kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
1042,70kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
1074,Relais 4 x 6km - Femmes,Femmes,Equipe,0,1,0,0,0,109,Biathlon,246,Biathlon,41
1101,Par équipes Pursuit 6 Laps - Femmes,Femmes,Equipe,0,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste,40
1136,57kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
1156,-67kg - Femmes - JO,Femmes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat,32
1179,Sprint Par équipes (2 Personnes) - Femmes,Femmes,Equipe,0,0,1,0,0,22,Piste,48,Sprint,13
1192,Concours général ensembles - Femmes,Femmes,Equipe,0,1,1,0,1,40,Gymnastique rythmique,85,Ensemble,22
1197,Poutre - Femmes,Femmes,Individuel,1,1,1,0,1,310,Gymnastique artistique féminine,83,Gymnastique artistique féminine,26
1227,Barres asymétriques - Femmes,Femmes,Individuel,1,1,1,0,1,310,Gymnastique artistique féminine,83,Gymnastique artistique féminine,26
1254,Poids Mi-Mouche - Femmes (48kg),Femmes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
1257,57kg - Femmes,Femmes,Individuel,1,1,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
1258,60kg - Femmes,Femmes,Individuel,1,1,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
1260,Poids welter - Femmes (64kg),Femmes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
1261,Poids moyen - Femmes (69kg),Femmes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
1281,49er FX - Femmes,Femmes,Double,0,1,1,0,0,144,Dériveur,231,Haute performance,1
1298,53kg - Femmes,Femmes,Individuel,1,1,1,0,0,262,Lutte,128,Lutte féminine,8
1323,59kg - Femmes - JO,Femmes,Individuel,1,1,1,0,1,45,Haltérophilie,89,Total Olympique,29
1329,64kg - Femmes,Femmes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique,29
1338,76kg - Femmes,Femmes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique,29
1436,Ice Dance - Mixte,Mixte,Double,0,1,0,0,1,152,Danse sur glace,324,Danse sur glace,57
1445,Par équipes - Relais - Mixte,Mixte,Equipe,0,1,0,0,0,119,Luge,325,Luge,44
1446,Pairs - Mixte,Mixte,Double,0,1,0,0,1,120,Patinage artistique,326,Patinage artistique,57
1449,Par équipes - Mixte,Mixte,Equipe,0,0,0,0,0,107,Ski alpin,257,Ski alpin,34
1473,Nacra 17 - Mixte,Mixte,Double,0,1,1,0,0,146,Catamaran,226,Mixte,1
1736,74kg LL - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre,8
3390,10km - Hommes,Hommes,Individuel,1,1,1,0,0,83,Eau libre,148,Eau libre,114
5460,Épreuves combinées (B+D+V) - Hommes,Hommes,Individuel,1,0,1,0,0,72,Escalade,134,Combiné,116
5505,-75kg Kumite - Hommes,Hommes,Individuel,1,0,1,0,0,392,Kumité,378,Kumité,109
5507,-67kg Kumite - Hommes,Hommes,Individuel,1,0,1,0,0,392,Kumité,378,Kumité,109
5508,-61kg Kumite - Femmes,Femmes,Individuel,1,0,1,0,0,392,Kumité,378,Kumité,109
5533,Individual Kata - Hommes,Hommes,Individuel,1,0,1,0,0,391,Kata,377,Kata,109
5834,Shortboard - Hommes,Hommes,Individuel,1,1,1,0,1,127,Surf,200,Shortboard,115
5882,Skate Park - Hommes,Hommes,Individuel,1,1,1,0,1,246,Skateboard,170,Park,117
5884,Skate Street - Hommes,Hommes,Individuel,1,1,1,0,1,246,Skateboard,171,Street,117
5941,Saut acrobatique Par équipes - Mixte,Mixte,Equipe,0,1,0,0,1,110,Ski freestyle,259,Ski freestyle,6
6041,Doubles - Mixte,Mixte,Double,0,1,0,0,0,118,Curling,323,Curling,20
6086,BMX Freestyle - Hommes,Hommes,Individuel,1,1,1,0,1,286,BMX freestyle,45,Park,196
6424,67kg GR - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,129,Lutte gréco-romaine,46
6426,50kg - Femmes,Femmes,Individuel,1,1,1,0,0,262,Lutte,128,Lutte féminine,8
6427,97kg GR - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,129,Lutte gréco-romaine,46
6428,68kg - Femmes,Femmes,Individuel,1,1,1,0,0,262,Lutte,128,Lutte féminine,8
6450,Basket 3x3 Equipe H,Hommes,Equipe,0,1,1,0,0,288,Basketball 3x3,30,Basketball 3x3,121
6454,62kg - Femmes,Femmes,Individuel,1,1,1,0,0,262,Lutte,128,Lutte féminine,8
6465,Rugby à 7 Equipe F,Femmes,Equipe,0,1,1,0,0,245,Rugby à 7,172,Rugby à 7,72
6466,Simple - Femmes,Femmes,Individuel,1,1,1,0,0,130,Tennis,207,Tennis,68
6467,Double - Femmes,Femmes,Double,0,1,1,0,0,130,Tennis,207,Tennis,68
6468,Double - Mixte,Mixte,Double,0,1,1,0,0,130,Tennis,207,Tennis,68
6469,Hockey Equipe F,Femmes,Equipe,0,1,1,0,0,67,Hockey sur gazon,111,Hockey sur gazon,25
6471,Contre la montre - Femmes,Femmes,Individuel,1,1,1,0,0,23,Route,49,Course contre la montre,37
6472,Course sur route - Femmes,Femmes,Individuel,1,1,1,0,0,23,Route,50,Course en ligne,37
6475,Handball Equipe F,Femmes,Equipe,0,1,1,0,0,47,Handball,91,Handball,31
