id_athlete,last_name,first_name,id_team,team_name
18027373.0,MARENCO,Izayana,15711,Nicaragua
18027443.0,ARCILA,Santiago,95866,COL
18027447.0,ACOSTA GIRALDO,Valentina,95866,COL
18027490.0,KUMAR,Ashish,15995,India
18027540.0,OKAZAWA,Sewonrets Quincy Mensah,9868,Japan
18027797.0,LONG,Jinbao,100110,China
18027804.0,AEBERHARD,Nadine,94143,Switzerland
18027807.0,SIMPSON,Molly,101307,Canada
18027855.0,CERNANSKA,Viktoria,91823,Slovakia
18027946.0,SEVILLE,Oblique,95237,Jamaica
18028023.0,BARBOSA,Kurt Bryan,10791,Philippines
18028080.0,CLEMONS,Christina,91849,United States
18028091.0,VOROBEVA,Elena,92084,Croatia
18028092.0,HUNT,Emma,94728,United States
18028216.0,INAMI,Mone,91637,Japan
18028986.0,HAN,Xuezhen,10228,China
18029038.0,SHERAR,Zoe,91425,Canada
18029188.0,TOZIER,Rachel,95182,United States
18029219.0,ISHANOV,Olimjon,96249,Tajikistan
18029756.0,KENNY,David,96910,Ireland
18029771.0,STEY,Pauline,91520,France
18029855.0,ABUTALEB,Dunya,10794,Saudi Arabia
18030462.0,SIMMERMACHER,Magdalena,92217,Argentina
18030654.0,WANG,Nan,91535,China
18030656.0,YANG,Xiaoxu,91535,China
18030679.0,CHIEN,Tung-Chuan,12008,Chinese Taipei
18030691.0,NAKAYAMA,Funa,101350,JPN
18030692.0,MOMIJI,Nishiya,101350,JPN
18030733.0,BACHER,Daniel,90490,Austria
18030770.0,LEGNAVSKY,Gustav,99966,New Zealand
18030773.0,FAULHABER,Hanna,94642,United States
18030782.0,DONAGGIO,Leonardo,92135,Italy
18030786.0,YANG,Shuorui,91066,China
18030788.0,ORLOVA,Ksenia,201529,ROC
18030821.0,KORAYIEM,Ibrahim,92077,Egypt
18031280.0,PONKRATOVA,Elizaveta,201529,ROC
18031304.0,XIAO,Jiaruixuan,92331,China
18031332.0,TSUNODA,Ai,8771,Spain
18031357.0,KAWAMURA,Anri,92019,Japan
18031392.0,GRAUR,Olessya,92236,Kazakhstan
18031395.0,SYSOEV,Kirill,201529,ROC
18031405.0,OWENS,Kai,94642,United States
18031421.0,CASS,Sabrina,98569,Brazil
18031457.0,SINGH,Esha,94600,India
18031697.0,HUSEYNOV,Nijat,11967,Azerbaijan
18031702.0,IBARRECHE CONDE,Oier,12428,Spain
18031815.0,HOFSTAD,Sunniva,11123,Norway
18031963.0,SCHMID,Aker,194580,Refugee Olympic Team
18031983.0,LAZOGIANIS,Lucas,16005,Germany
18032082.0,ALCARAZ,Carlos,11581,Spain
18032094.0,SHNAIDER,Diana,232999,Individual Neutral Athlete
18032252.0,SECCHI,Clément,89925,France
18032253.0,MARCHAND,Léon,89925,France
18032381.0,KEJLSTRUP SORENSEN,Malene,98012,Denmark
18032424.0,KWON,Halim,92043,Republic of Korea
18032426.0,NDORI,Bayapo,92017,Botswana
18032465.0,DALEIDEN,Ralph,93152,Luxembourg
18032466.0,DRUENNE,Théo,92163,Monaco
18032583.0,WILDSCHUTT,Adrian,91331,South Africa
18032630.0,BORZOR,Christopher,95269,Haiti
18032684.0,MAGANGA GORRA,Guy,92147,Gabon
18032733.0,PACHECO,Juan,93121,Mexico
18032741.0,ROOKS,Kenneth,91849,United States
18032763.0,PILLAY,Lythe,91331,South Africa
18032789.0,KOYAMA,Naoki,91841,Japan
18032832.0,CATROFE,Santiago,89913,Uruguay
18032846.0,JONES,Terrence,96929,Bahamas
18032862.0,NTWENG,Victor,92017,Botswana
18032877.0,KIM,Yeongtaek,92043,Republic of Korea
18032883.0,TAMAI,Rikuto,95252,Japan
18032945.0,MOLLÀ,Mario,91571,Spain
18032971.0,PALOUDOVÁ,Anežka,94611,Czech Republic
18033083.0,HILLIER,Daniel,89917,New Zealand
18033132.0,HAZZARD,Halle,92608,Grenada
18033138.0,CAMPBELL,Rajindra,95237,Jamaica
18033154.0,CHEKAN,Vladyslav,91439,Ukraine
18033173.0,PULIDO,Celia,91598,Mexico
