id_epreuve,epreuve_name,genre,epreuve_type,is_individual,is_olympic,is_summer,is_handicap,result_direction,id_discipline,id_sport
6469,Hockey Equipe F,Femmes,Equipe,False,True,True,False,0,67,25
6471,Contre la montre - Femmes,Femmes,Individuel,True,True,True,False,0,23,37
6472,Course sur route - Femmes,Femmes,Individuel,True,True,True,False,0,23,37
6475,Handball Equipe F,Femmes,Equipe,False,True,True,False,0,47,31
6477,Double - Femmes,Femmes,Double,False,True,True,False,1,9,55
6478,Double - Mixte,Mixte,Double,False,True,True,False,1,9,55
6479,Simple - Femmes,Femmes,Individuel,True,True,True,False,0,9,55
6481,Individuel Épée - Femmes,Femmes,Individuel,True,True,True,False,0,33,33
6482,25m Pistolet - Femmes,Femmes,Individuel,True,True,True,False,1,137,66
6483,10m Pistolet à air comprimé - Femmes,Femmes,Individuel,True,True,True,False,1,137,66
6486,-55kg Kumite - Femmes,Femmes,Individuel,True,False,True,False,0,392,109
6490,Par équipes Épée - Femmes,Femmes,Equipe,False,True,True,False,1,33,33
6493,Par équipes - Femmes,Femmes,Equipe,False,True,True,False,0,131,19
6495,Simple - Femmes,Femmes,Individuel,True,True,True,False,0,131,19
6498,Individuel - Femmes,Femmes,Individuel,True,True,True,False,1,97,16
6500,Classique Par équipes - Femmes,Femmes,Equipe,False,True,True,False,1,368,10
6501,Individuel - Femmes,Femmes,Individuel,True,True,True,False,1,368,10
6503,Individuel Fleuret - Femmes,Femmes,Individuel,True,True,True,False,0,34,33
6504,Par équipes Fleuret - Femmes,Femmes,Equipe,False,True,True,False,1,34,33
6507,Épreuves combinées (B+D+V) - Femmes,Femmes,Individuel,True,False,True,False,0,72,116
6508,BMX Race - Femmes,Femmes,Individuel,True,True,True,False,0,25,17
6511,Volley-Ball Equipe F,Femmes,Equipe,False,True,True,False,0,150,53
6512,Beach-Volley Equipe F,Femmes,Double,False,True,True,False,1,151,4
6516,Basket 3x3 Equipe F,Femmes,Equipe,False,True,True,False,0,288,121
6517,Basket 5x5 Equipe F,Femmes,Equipe,False,True,True,False,0,358,7
6518,Quatre de couple - Femmes,Femmes,Equipe,False,True,True,False,0,8,15
6521,Deux de couple - Femmes,Femmes,Equipe,False,True,True,False,0,8,15
6522,Deux sans barreur - Femmes,Femmes,Equipe,False,True,True,False,0,8,15
6523,Quatre sans barreur - Femmes,Femmes,Equipe,False,True,True,False,0,8,15
6524,Double - Mixte,Mixte,Double,False,True,True,False,1,131,19
6525,Relais 4 x 400m - Femmes,Femmes,Equipe,False,True,True,False,0,251,28
6527,100m - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6528,400m - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6529,400m Haies - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6536,Huit avec barreur - Femmes,Femmes,Equipe,False,True,True,False,0,8,15
6540,Concours général - Femmes,Femmes,Individuel,True,True,True,False,1,310,26
6541,Sol - Femmes,Femmes,Individuel,True,True,True,False,1,310,26
6542,GAF Par équipes - Femmes,Femmes,Equipe,False,True,True,False,1,310,26
6543,Keirin - Femmes,Femmes,Individuel,True,True,True,False,0,22,13
6544,Sprint individuel - Femmes,Femmes,Individuel,True,True,True,False,0,22,13
6547,Individuel Sabre - Femmes,Femmes,Individuel,True,True,True,False,0,35,33
