id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_discipline_administrative,discipline_administrative,id_specialite,specialite
42,Poids mouche - Hommes (51kg) OG,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
48,+100kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo
49,73kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo
52,Par équipes - Hommes,Hommes,Equipe,0,1,1,0,0,131,Tennis de table,208,Tennis de table
67,69kg - Hommes,Hommes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique
68,94kg - Hommes,Hommes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique
73,Par équipes Sabre - Hommes,Hommes,Equipe,0,1,1,0,1,35,Sabre,68,Sabre
78,10m Carabine à air comprimé - Hommes,Hommes,Individuel,1,1,1,0,1,136,Carabine,210,10 mètres
87,58kg - Hommes - JO,Hommes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat
91,Single - Hommes,Hommes,Individuel,1,1,0,0,0,119,Luge,325,Luge
101,Relais 4 x 7.5km - Hommes,Hommes,Equipe,0,1,0,0,0,109,Biathlon,246,Biathlon
109,15km Style classique - Hommes,Hommes,Individuel,1,0,0,0,0,108,Ski de fond,258,Ski de fond
110,15km Style libre - Hommes,Hommes,Individuel,1,1,0,0,0,108,Ski de fond,258,Ski de fond
114,2 x 15km Skiathlon - Hommes,Hommes,Individuel,1,1,0,0,0,108,Ski de fond,258,Ski de fond
117,Saut acrobatique - Hommes,Hommes,Individuel,1,1,0,0,1,110,Ski freestyle,259,Ski freestyle
119,Bosses - Hommes,Hommes,Individuel,1,1,0,0,1,110,Ski freestyle,259,Ski freestyle
122,5000m Relais - Hommes,Hommes,Equipe,0,1,0,0,0,400,Patinage de vitesse sur glace courte piste,288,Short track
130,Poursuite Par équipes - Hommes,Hommes,Equipe,0,1,1,0,0,22,Piste,47,Endurance
138,1000m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste
139,5000m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste
140,Double - Hommes,Hommes,Double,0,1,1,0,0,130,Tennis,207,Tennis
144,200m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,18,Sprint
146,3000m Steeplechase - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,9,Demi-fond
147,5000m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,11,Fond
148,Decathlon - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,10,Epreuves combinées
149,Disque - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,13,Lancers
153,Javelot - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,13,Lancers
154,Marathon - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,14,Marathon
155,Perche - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,17,Sauts
156,Triple saut - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,17,Sauts
157,Hockey Equipe H,Hommes,Equipe,0,1,1,0,0,67,Hockey sur gazon,111,Hockey sur gazon
165,470 - Hommes,Hommes,Double,0,0,1,0,0,144,Dériveur,231,Haute performance
176,100m Dos - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
177,100m Brasse - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
178,100m Papillon - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
179,100m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
181,1500m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
182,200m Papillon - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
183,200m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
184,Relais 4 x 100m Nage libre - Hommes,Hommes,Equipe,0,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
189,Simple - Hommes,Hommes,Individuel,1,1,1,0,0,9,Badminton,92,Badminton
194,Poids lourd - Hommes,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
198,Deux sans barreur - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron
200,Huit avec barreur - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron
203,Quatre de couple - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron
204,Simple - Hommes,Hommes,Individuel,1,1,1,0,0,131,Tennis de table,208,Tennis de table
212,Individuel - Hommes,Hommes,Individuel,1,1,1,0,1,368,Tir à l'arc sur cibles,221,Arc classique
213,Classique Par équipes - Hommes,Hommes,Equipe,0,1,1,0,1,368,Tir à l'arc sur cibles,221,Arc classique
217,Individuel - Hommes,Hommes,Individuel,1,1,1,0,1,97,Pentathlon moderne,161,Pentathlon moderne
219,Individuel Sabre - Hommes,Hommes,Individuel,1,1,1,0,0,35,Sabre,68,Sabre
224,25m Pistolet tir rapide - Hommes,Hommes,Individuel,1,1,1,0,1,137,Pistolet,217,25 mètres
232,68kg - Hommes - JO,Hommes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat
233,+80kg - Hommes - JO,Hommes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat
237,Par équipes - Hommes,Hommes,Equipe,0,1,0,0,0,118,Curling,323,Curling
247,Individuel 20km - Hommes,Hommes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon
253,50km Style classique - Hommes,Hommes,Individuel,1,1,0,0,0,108,Ski de fond,258,Ski de fond
258,1000m - Hommes,Hommes,Individuel,1,1,0,0,0,400,Patinage de vitesse sur glace courte piste,288,Short track
260,500m - Hommes,Hommes,Individuel,1,1,0,0,0,400,Patinage de vitesse sur glace courte piste,288,Short track
263,Sprint individuel - Hommes,Hommes,Individuel,1,1,1,0,0,22,Piste,48,Sprint
265,Keirin - Hommes,Hommes,Individuel,1,1,1,0,0,22,Piste,48,Sprint
267,Madison - Hommes,Hommes,Equipe,0,1,1,0,1,22,Piste,47,Endurance
271,Individuel - Hommes,Hommes,Individuel,1,1,0,0,0,153,Skeleton,328,Skeleton
274,K1 200m - Hommes,Hommes,Individuel,1,0,1,0,0,397,Kayak,403,Course en ligne
275,K4 500m - Hommes,Hommes,Equipe,0,1,1,0,0,397,Kayak,403,Course en ligne
279,K1 - Hommes,Hommes,Individuel,1,1,1,0,0,397,Kayak,406,Slalom
280,Football Equipes H,Hommes,Equipe,0,1,1,0,0,36,Football,77,Football
289,100m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,18,Sprint
291,20km Marche - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,15,Marche athlétique
296,400m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,18,Sprint
299,800m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,9,Demi-fond
302,Longueur - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,17,Sauts
310,Slalom géant - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin
321,200m Brasse - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
322,200m 4 nages (individuel) - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
325,Relais 4 x 100m 4 nages - Hommes,Hommes,Equipe,0,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
326,Relais 4 x 200m Nage libre - Hommes,Hommes,Equipe,0,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
331,50m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
332,800m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
333,10m Plateforme - Hommes,Hommes,Individuel,1,1,1,0,1,84,Plongeon,151,Plongeon
334,10m Plateforme Synchro - Hommes,Hommes,Equipe,0,1,1,0,1,84,Plongeon,151,Plongeon
335,3m Tremplin Synchro - Hommes,Hommes,Equipe,0,1,1,0,1,84,Plongeon,151,Plongeon
338,Poids plume - Hommes (57kg) OG,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
339,Poids léger - Hommes (61kg),Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
340,Poids lourd-léger - Hommes (79kg),Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
341,Golf Individuel - Hommes,Hommes,Individuel,1,1,1,0,0,38,Golf,81,Golf
342,Handball Equipe H,Hommes,Equipe,0,1,1,0,0,47,Handball,91,Handball
345,100kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo
346,90kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo
347,60kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo
348,Quatre sans barreur - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron
349,Deux de couple - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron
351,Skiff - Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron
353,Distance Olympique - Hommes,Hommes,Individuel,1,1,1,0,0,142,Triathlon,225,Formats olympiques
372,Par équipes Épée - Hommes,Hommes,Equipe,0,1,1,0,1,33,Epée,66,Epée
376,Trap - Hommes,Hommes,Individuel,1,1,1,0,1,275,Plateau,218,Fosse olympique
379,10m Pistolet à air comprimé - Hommes,Hommes,Individuel,1,1,1,0,1,137,Pistolet,216,10 mètres
391,2-Man Competition - Hommes,Hommes,Equipe,0,1,0,0,0,117,Bobsleigh,322,Bobsleigh
404,Singles - Hommes,Hommes,Individuel,1,1,0,0,1,120,Patinage artistique,326,Patinage artistique
406,Mass Start 15km - Hommes,Hommes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon
409,50km Style libre - Hommes,Hommes,Individuel,1,0,0,0,0,108,Ski de fond,258,Ski de fond
416,Snowboard Cross - Hommes,Hommes,Individuel,1,1,0,0,0,111,Surf des neiges,260,Snowboard
420,1500m - Hommes,Hommes,Individuel,1,1,0,0,0,400,Patinage de vitesse sur glace courte piste,288,Short track
430,Omnium - Hommes,Hommes,Individuel,1,1,1,0,0,22,Piste,47,Endurance
433,500m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste
436,1500m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste
437,10000m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste
440,10000m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,11,Fond
441,110m Haies - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,12,Haies
444,Relais 4 x 100m - Hommes,Hommes,Equipe,0,1,1,0,0,251,Athlétisme disciplines olympiques,16,Relais
445,400m Haies - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,12,Haies
448,Marteau - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,13,Lancers
449,Hauteur - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,17,Sauts
454,Basket 5x5 Equipe H,Hommes,Equipe,0,1,1,0,0,358,Basketball 5x5,31,Basketball 5x5
455,Volley-Ball Equipe H,Hommes,Equipe,0,1,1,0,0,150,Volley-ball,241,Volley ball
460,Par équipes - Hommes,Hommes,Equipe,0,0,1,0,0,11,Baseball,28,Baseball
461,Slalom - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin
462,RS:X - Men,Hommes,Individuel,1,0,1,0,0,372,Planche à voile (windsurf),373,Windsurf
463,Finn - Hommes,Hommes,Individuel,1,0,1,0,0,144,Dériveur,231,Haute performance
471,200m Dos - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
478,Water-Polo Equipe H,Hommes,Equipe,0,1,1,0,0,85,Water polo,152,Water polo
480,Poids super-lourd - Hommes,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
481,67kg - Hommes,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
482,"Poids moyen - Hommes (72,5kg)",Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
483,66kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo
484,81kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo
488,Deux de couple - Poids léger Hommes,Hommes,Equipe,0,1,1,0,0,8,Aviron,25,Aviron
500,105kg - Hommes,Hommes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique
503,Individuel Épée - Hommes,Hommes,Individuel,1,1,1,0,1,33,Epée,66,Epée
504,Individuel Fleuret - Hommes,Hommes,Individuel,1,1,1,0,0,34,Fleuret,67,Fleuret
505,Par équipes Fleuret - Hommes,Hommes,Equipe,0,1,1,0,0,34,Fleuret,67,Fleuret
509,Skeet - Hommes,Hommes,Individuel,1,1,1,0,1,275,Plateau,219,Skeet olympique
516,80kg - Hommes - JO,Hommes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat
531,Sprint 10km - Hommes,Hommes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon
532,Poursuite 12.5km - Hommes,Hommes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon
534,Relais 2 x 6 + 2 x 7.5km - Mixte,Mixte,Equipe,0,0,0,0,0,109,Biathlon,246,Biathlon
536,Relais 4 x 10km - Hommes,Hommes,Equipe,0,1,0,0,0,108,Ski de fond,258,Ski de fond
542,Beach-Volley Equipe H,Hommes,Double,0,1,1,0,1,151,Volley-ball de plage (beach volley),242,Beach volley
543,Cross Country - Hommes,Hommes,Individuel,1,1,1,0,0,256,VTT,54,Cross-country
552,C1 1000m - Hommes,Hommes,Individuel,1,1,1,0,0,398,Canoë,41,Course en ligne (sprint)
554,C2 1000m - Hommes,Hommes,Double,0,0,1,0,0,398,Canoë,41,Course en ligne (sprint)
567,Trampoline Individuel - Hommes,Hommes,Individuel,1,1,1,0,1,42,Trampoline,88,Trampoline
574,Concours général - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine
575,Barres parallèles - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine
591,K1 1000m - Hommes,Hommes,Individuel,1,1,1,0,0,397,Kayak,403,Course en ligne
593,K2 1000m - Hommes,Hommes,Double,0,0,1,0,0,397,Kayak,403,Course en ligne
595,C1 - Hommes,Hommes,Individuel,1,1,1,0,0,398,Canoë,42,Slalom
599,Sol - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine
600,Barre fixe - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine
601,Cheval d'arçons - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine
602,Saut - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine
618,Anneaux - Hommes,Hommes,Individuel,1,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine
620,GAM Par équipes - Hommes,Hommes,Equipe,0,1,1,0,1,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine
631,BMX Race - Hommes,Hommes,Individuel,1,1,1,0,0,25,BMX race,46,BMX race
632,Sprint Style classique - Hommes,Hommes,Individuel,1,1,0,0,0,108,Ski de fond,258,Ski de fond
634,Par équipes Sprint Style libre - Hommes,Hommes,Equipe,0,1,0,0,0,108,Ski de fond,258,Ski de fond
636,Par équipes Sprint Style classique - Hommes,Hommes,Equipe,0,0,0,0,0,108,Ski de fond,258,Ski de fond
637,Ski Cross - Hommes,Hommes,Individuel,1,1,0,0,0,110,Ski freestyle,259,Ski freestyle
664,Halfpipe - Hommes,Hommes,Individuel,1,1,0,0,1,110,Ski freestyle,259,Ski freestyle
685,50m Carabine 3 positions - Hommes,Hommes,Individuel,1,1,1,0,1,136,Carabine,211,50 mètres
692,65kg LL - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre
693,57kg LL- Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre
694,86kg LL- Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre
695,97kg LL - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre
696,125kg LL- Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre
702,130kg GR - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,129,Lutte gréco-romaine
703,Rugby à 7 Equipe H,Hommes,Equipe,0,1,1,0,0,245,Rugby à 7,172,Rugby à 7
782,Mass Start 16 Laps - Hommes,Hommes,Individuel,1,1,0,0,1,401,Patinage de vitesse sur glace grande piste,289,Longue piste
797,Heptathlon - Femmes,Femmes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,10,Epreuves combinées
819,Duo - Femmes,Femmes,Double,0,1,1,0,1,82,Natation artistique,149,Natation artistique
820,Par équipes - Femmes,Femmes,Equipe,0,0,1,0,1,82,Natation artistique,149,Natation artistique
825,48kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo
844,57kg - Femmes - JO,Femmes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat
845,49kg - Femmes - JO,Femmes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat
853,Mass Start 12.5km - Femmes,Femmes,Individuel,1,1,0,0,0,109,Biathlon,246,Biathlon
938,52kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo
941,78kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo
942,+78kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo
956,75kg - Femmes,Femmes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique
964,+67kg - Femmes - JO,Femmes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat
981,Sprint Par équipes - Hommes,Hommes,Equipe,0,1,1,0,0,22,Piste,48,Sprint
992,Concours multiple individuel - Femmes,Femmes,Individuel,1,1,1,0,1,40,Gymnastique rythmique,86,Individuelle
1041,63kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo
1042,70kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo
1074,Relais 4 x 6km - Femmes,Femmes,Equipe,0,1,0,0,0,109,Biathlon,246,Biathlon
1101,Par équipes Pursuit 6 Laps - Femmes,Femmes,Equipe,0,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste
1136,57kg - Femmes,Femmes,Individuel,1,1,1,0,0,68,Judo,112,Judo
1156,-67kg - Femmes - JO,Femmes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat
1179,Sprint Par équipes (2 Personnes) - Femmes,Femmes,Equipe,0,0,1,0,0,22,Piste,48,Sprint
1192,Concours général ensembles - Femmes,Femmes,Equipe,0,1,1,0,1,40,Gymnastique rythmique,85,Ensemble
1197,Poutre - Femmes,Femmes,Individuel,1,1,1,0,1,310,Gymnastique artistique féminine,83,Gymnastique artistique féminine
1227,Barres asymétriques - Femmes,Femmes,Individuel,1,1,1,0,1,310,Gymnastique artistique féminine,83,Gymnastique artistique féminine
1254,Poids Mi-Mouche - Femmes (48kg),Femmes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
1257,57kg - Femmes,Femmes,Individuel,1,1,1,0,0,360,Boxe anglaise,37,Boxe anglaise
1258,60kg - Femmes,Femmes,Individuel,1,1,1,0,0,360,Boxe anglaise,37,Boxe anglaise
1260,Poids welter - Femmes (64kg),Femmes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
1261,Poids moyen - Femmes (69kg),Femmes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise
1281,49er FX - Femmes,Femmes,Double,0,1,1,0,0,144,Dériveur,231,Haute performance
1298,53kg - Femmes,Femmes,Individuel,1,1,1,0,0,262,Lutte,128,Lutte féminine
1323,59kg - Femmes - JO,Femmes,Individuel,1,1,1,0,1,45,Haltérophilie,89,Total Olympique
1329,64kg - Femmes,Femmes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique
1338,76kg - Femmes,Femmes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique
1436,Ice Dance - Mixte,Mixte,Double,0,1,0,0,1,152,Danse sur glace,324,Danse sur glace
1445,Par équipes - Relais - Mixte,Mixte,Equipe,0,1,0,0,0,119,Luge,325,Luge
1446,Pairs - Mixte,Mixte,Double,0,1,0,0,1,120,Patinage artistique,326,Patinage artistique
1449,Par équipes - Mixte,Mixte,Equipe,0,0,0,0,0,107,Ski alpin,257,Ski alpin
1473,Nacra 17 - Mixte,Mixte,Double,0,1,1,0,0,146,Catamaran,226,Mixte
1736,74kg LL - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,130,Lutte libre
3390,10km - Hommes,Hommes,Individuel,1,1,1,0,0,83,Eau libre,148,Eau libre
5460,Épreuves combinées (B+D+V) - Hommes,Hommes,Individuel,1,0,1,0,0,72,Escalade,134,Combiné
5505,-75kg Kumite - Hommes,Hommes,Individuel,1,0,1,0,0,392,Kumité,378,Kumité
5507,-67kg Kumite - Hommes,Hommes,Individuel,1,0,1,0,0,392,Kumité,378,Kumité
5508,-61kg Kumite - Femmes,Femmes,Individuel,1,0,1,0,0,392,Kumité,378,Kumité
5533,Individual Kata - Hommes,Hommes,Individuel,1,0,1,0,0,391,Kata,377,Kata
5834,Shortboard - Hommes,Hommes,Individuel,1,1,1,0,1,127,Surf,200,Shortboard
5882,Skate Park - Hommes,Hommes,Individuel,1,1,1,0,1,246,Skateboard,170,Park
5884,Skate Street - Hommes,Hommes,Individuel,1,1,1,0,1,246,Skateboard,171,Street
5941,Saut acrobatique Par équipes - Mixte,Mixte,Equipe,0,1,0,0,1,110,Ski freestyle,259,Ski freestyle
6041,Doubles - Mixte,Mixte,Double,0,1,0,0,0,118,Curling,323,Curling
6086,BMX Freestyle - Hommes,Hommes,Individuel,1,1,1,0,1,286,BMX freestyle,45,Park
6424,67kg GR - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,129,Lutte gréco-romaine
6426,50kg - Femmes,Femmes,Individuel,1,1,1,0,0,262,Lutte,128,Lutte féminine
6427,97kg GR - Hommes,Hommes,Individuel,1,1,1,0,0,262,Lutte,129,Lutte gréco-romaine
6428,68kg - Femmes,Femmes,Individuel,1,1,1,0,0,262,Lutte,128,Lutte féminine
6450,Basket 3x3 Equipe H,Hommes,Equipe,0,1,1,0,0,288,Basketball 3x3,30,Basketball 3x3
6454,62kg - Femmes,Femmes,Individuel,1,1,1,0,0,262,Lutte,128,Lutte féminine
6465,Rugby à 7 Equipe F,Femmes,Equipe,0,1,1,0,0,245,Rugby à 7,172,Rugby à 7
6466,Simple - Femmes,Femmes,Individuel,1,1,1,0,0,130,Tennis,207,Tennis
6467,Double - Femmes,Femmes,Double,0,1,1,0,0,130,Tennis,207,Tennis
6468,Double - Mixte,Mixte,Double,0,1,1,0,0,130,Tennis,207,Tennis
6469,Hockey Equipe F,Femmes,Equipe,0,1,1,0,0,67,Hockey sur gazon,111,Hockey sur gazon
6471,Contre la montre - Femmes,Femmes,Individuel,1,1,1,0,0,23,Route,49,Course contre la montre
6472,Course sur route - Femmes,Femmes,Individuel,1,1,1,0,0,23,Route,50,Course en ligne
6475,Handball Equipe F,Femmes,Equipe,0,1,1,0,0,47,Handball,91,Handball
6477,Double - Femmes,Femmes,Double,0,1,1,0,1,9,Badminton,92,Badminton
6478,Double - Mixte,Mixte,Double,0,1,1,0,1,9,Badminton,92,Badminton
6479,Simple - Femmes,Femmes,Individuel,1,1,1,0,0,9,Badminton,92,Badminton
6481,Individuel Épée - Femmes,Femmes,Individuel,1,1,1,0,0,33,Epée,66,Epée
6482,25m Pistolet - Femmes,Femmes,Individuel,1,1,1,0,1,137,Pistolet,217,25 mètres
6483,10m Pistolet à air comprimé - Femmes,Femmes,Individuel,1,1,1,0,1,137,Pistolet,216,10 mètres
6486,-55kg Kumite - Femmes,Femmes,Individuel,1,0,1,0,0,392,Kumité,378,Kumité
6490,Par équipes Épée - Femmes,Femmes,Equipe,0,1,1,0,1,33,Epée,66,Epée
6493,Par équipes - Femmes,Femmes,Equipe,0,1,1,0,0,131,Tennis de table,208,Tennis de table
6495,Simple - Femmes,Femmes,Individuel,1,1,1,0,0,131,Tennis de table,208,Tennis de table
